RAW DATA,,,,,,,,,,,,,,,,,,,
,Cluster Size,1 (Uniform),2 (Uniform),3 (Uniform),,1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted),,Cluster Size,1 (Uniform),2 Uniform,3 (Uniform),Column1,1 Wieghted,2 Weighted,3 Weighted,6 Weighted
,,10,7,8,,6.00E+00,8,6,8.00E+00,,,,,,,,,,
,,7,6,5,,8.00E+00,8,7,2.00E+00,,,,,,,,,,
,,8,4,10,,5.00E+00,6,7,7.00E+00,,,,,,,,,,
,,4,2,6,,7.00E+00,2,4,2.00E+00,,,,,,,,,,
,,4,5,3,,5.00E+00,5,4,4.00E+00,,,,,,,,,,
,,8,6,5,,9.00E+00,7,6,5.00E+00,,,,,,,,,,
,,7,4,6,,7.00E+00,4,4,2.00E+00,,,,,,,,,,
,,8,3,9,,7.00E+00,5,5,6.00E+00,,,,,,,,,,
,,4,5,6,,7.00E+00,5,3,2.00E+00,,,,,,,,,,
,,3,4,2,,4.00E+00,3,3,6.00E+00,,,,,,,,,,
,,8,6,7,,7.00E+00,7,6,4.00E+00,,,,,,,,,,
,,5,5,6,,7.00E+00,3,7,8.00E+00,,,,,,,,,,
,,8,3,4,,7.00E+00,6,5,4.00E+00,,,,,,,,,,
,,9,4,7,,9.00E+00,6,5,5.00E+00,,,,,,,,,,
,,5,2,4,,5.00E+00,2,4,8.00E+00,,,,,,,,,,
,,9,4,8,,8.00E+00,6,4,6.00E+00,,,,,,,,,,
,,7,5,8,,1.10E+01,7,5,7.00E+00,,,,,,,,,,
,,7,9,9,,1.00E+01,9,8,6.00E+00,,,,,,,,,,
,,6,5,6,,6.00E+00,4,5,7.00E+00,,,,,,,,,,
,,6,6,8,,6.00E+00,6,4,6.00E+00,,,,,,,,,,
,,5,4,3,,9.00E+00,6,1,4.00E+00,,,,,,,,,,
,,5,6,8,,9.00E+00,5,4,5.00E+00,,,,,,,,,,
,,6,6,8,,8.00E+00,6,4,3.00E+00,,,,,,,,,,
